2024-01-15 12:00:00 | NETWORK_SCAN | user=unknown | ip=203.0.113.5 | severity=HIGH
2024-01-15 12:01:00 | PORT_SCAN | user=unknown | ip=203.0.113.5 | severity=HIGH
2024-01-15 12:02:00 | NETWORK_SCAN | user=unknown | ip=203.0.113.5 | severity=HIGH
2024-01-15 12:03:00 | ALERT | user=unknown | ip=203.0.113.5 | severity=CRITICAL
2024-01-15 14:00:00 | DNS_QUERY | user=system | ip=8.8.8.8 | severity=INFO
2024-01-16 13:00:00 | NETWORK_SCAN | user=unknown | ip=198.51.100.7 | severity=HIGH
2024-01-16 13:05:00 | LOGIN_FAILED | user=root | ip=198.51.100.7 | severity=WARNING
2024-01-16 13:06:00 | LOGIN_FAILED | user=root | ip=198.51.100.7 | severity=WARNING
2024-01-16 13:07:00 | LOGIN_FAILED | user=root | ip=198.51.100.7 | severity=WARNING
2024-01-16 13:08:00 | LOGIN_FAILED | user=root | ip=198.51.100.7 | severity=WARNING
2024-01-16 13:09:00 | LOGIN_FAILED | user=root | ip=198.51.100.7 | severity=WARNING
2024-01-17 09:00:00 | FIREWALL_BLOCK | user=system | ip=10.0.0.1 | severity=MEDIUM
2024-01-17 09:30:00 | WARNING | user=system | ip=172.16.0.50 | severity=WARNING
