2024-01-15 08:23:11 | LOGIN_SUCCESS | user=alice | ip=192.168.1.10 | severity=INFO
2024-01-15 08:25:44 | LOGIN_FAILED | user=bob | ip=192.168.1.20 | severity=WARNING
2024-01-15 08:26:01 | LOGIN_FAILED | user=bob | ip=192.168.1.20 | severity=WARNING
2024-01-15 08:26:22 | LOGIN_FAILED | user=bob | ip=192.168.1.20 | severity=WARNING
2024-01-15 08:26:45 | LOGIN_FAILED | user=bob | ip=192.168.1.20 | severity=WARNING
2024-01-15 08:27:10 | LOGIN_FAILED | user=bob | ip=192.168.1.20 | severity=WARNING
2024-01-15 09:00:01 | LOGIN_SUCCESS | user=charlie | ip=10.0.0.5 | severity=INFO
2024-01-15 09:15:33 | ALERT | user=admin | ip=172.16.0.1 | severity=HIGH
2024-01-15 09:30:00 | LOGIN_FAILED | user=dave | ip=192.168.1.50 | severity=WARNING
2024-01-15 10:00:00 | LOGIN_SUCCESS | user=eve | ip=192.168.1.60 | severity=INFO
2024-01-15 01:45:00 | LOGIN_SUCCESS | user=mallory | ip=10.0.0.99 | severity=INFO
2024-01-15 02:30:00 | LOGIN_SUCCESS | user=trudy | ip=10.0.0.88 | severity=INFO
2024-01-16 08:00:00 | LOGIN_FAILED | user=alice | ip=192.168.2.1 | severity=WARNING
2024-01-16 08:01:00 | LOGIN_FAILED | user=alice | ip=192.168.2.1 | severity=WARNING
2024-01-16 08:02:00 | LOGIN_FAILED | user=alice | ip=192.168.2.1 | severity=WARNING
2024-01-16 08:03:00 | LOGIN_FAILED | user=alice | ip=192.168.2.1 | severity=WARNING
2024-01-16 08:04:00 | LOGIN_FAILED | user=alice | ip=192.168.2.1 | severity=WARNING
2024-01-16 09:00:00 | LOGIN_SUCCESS | user=frank | ip=192.168.1.10 | severity=INFO
2024-01-16 10:00:00 | WARNING | user=system | ip=10.10.10.1 | severity=WARNING
2024-01-17 07:55:00 | LOGIN_SUCCESS | user=grace | ip=10.0.0.77 | severity=INFO
